City,Population density,2016 Population,Land Area,http://www.governing.com/gov-data/population-density-land-area-cities-map.html
"Eagan, Minnesota","2,135","66,428",31,
"East Orange, New Jersey","16,528","64,789",4,
"Eastvale, California","5,359","61,151",11,
"Eau Claire, Wisconsin","2,133","68,339",32,
"Eden Prairie, Minnesota","1,970","63,914",32,
"Edina, Minnesota","3,324","51,350",15,
"Edinburg, Texas","2,329","87,650",38,
"Edmond, Oklahoma","1,077","91,191",85,
"El Cajon, California","7,191","103,768",14,
"El Monte, California","12,114","115,807",10,
"El Paso, Texas","2,676","683,080",255,
"Elgin, Illinois","3,017","112,123",37,
"Elizabeth, New Jersey","10,442","128,640",12,
"Elk Grove, California","4,023","169,743",42,
"Elkhart, Indiana","2,227","52,221",23,
"Elyria, Ohio","2,611","53,715",21,
"Encinitas, California","3,356","63,131",19,
"Enid, Oklahoma",692,"51,004",74,
"Erie, Pennsylvania","5,167","98,593",19,
"Escondido, California","4,119","151,613",37,
"Eugene, Oregon","3,810","166,575",44,
"Euless, Texas","3,379","54,769",16,
"Evanston, Illinois","9,627","74,895",8,
"Evansville, Indiana","2,706","119,477",44,
"Everett, Washington","3,260","109,043",33,
"Fairfield, California","3,069","114,756",37,
"Fall River, Massachusetts","2,684","88,930",33,
"Fargo, North Dakota","2,474","120,762",49,
"Farmington Hills, Michigan","2,438","81,129",33,
"Fayetteville, Arkansas","1,557","83,826",54,
"Fayetteville, North Carolina","1,404","204,759",146,
"Federal Way, Washington","4,347","96,757",22,
"Fishers, Indiana","2,683","90,127",34,
"Flagstaff, Arizona","1,119","71,459",64,
"Flint, Michigan","2,914","97,386",33,
"Florissant, Missouri","4,122","51,776",13,
"Flower Mound, Texas","1,777","73,547",41,
"Folsom, California","3,520","77,271",22,
"Fontana, California","4,941","209,665",42,
"Fort Collins, Colorado","3,025","164,207",54,
"Fort Lauderdale, Florida","5,141","178,752",35,
"Fort Myers, Florida","1,931","77,146",40,
"Fort Smith, Arkansas","1,422","88,133",62,
"Fort Wayne, Indiana","2,391","264,488",111,
"Fort Worth, Texas","2,513","854,113",340,
"Fountain Valley, California","6,267","56,529",9,
"Franklin, Tennessee","1,814","74,794",41,
"Frederick, Maryland","3,186","70,060",22,
"Fremont, California","3,010","233,136",77,
"Fresno, California","4,663","522,053",112,
"Frisco, Texas","2,648","163,656",62,
"Fullerton, California","6,296","140,721",22,
"Gainesville, Florida","2,147","131,591",61,
"Gaithersburg, Maryland","6,645","67,776",10,
"Galveston, Texas","1,226","50,550",41,
"Garden Grove, California","9,747","174,858",18,
"Gardena, California","10,300","60,048",6,
"Garland, Texas","4,116","234,943",57,
"Gary, Indiana","1,532","76,424",50,
"Gastonia, North Carolina","1,496","75,536",51,
"Georgetown, Texas","1,403","67,140",48,
"Gilbert, Arizona","3,489","237,133",68,
"Gilroy, California","3,410","55,069",16,
"Glendale, Arizona","4,100","245,895",60,
"Glendale, California","6,595","200,831",30,
"Glendora, California","2,674","51,851",19,
"Goodyear, Arizona",403,"77,258",191,
"Grand Forks, North Dakota","2,881","57,339",20,
"Grand Island, Nebraska","1,813","51,517",28,
"Grand Junction, Colorado","1,619","61,881",38,
"Grand Prairie, Texas","2,645","190,682",72,
"Grand Rapids, Michigan","4,424","196,445",44,
"Grapevine, Texas","1,628","51,971",32,
"Great Falls, Montana","2,716","59,178",22,
"Greeley, Colorado","2,234","103,990",47,
"Green Bay, Wisconsin","2,312","105,139",45,
"Greensboro, North Carolina","2,269","287,027",127,
"Greenville, North Carolina","2,644","91,495",35,
"Greenville, South Carolina","2,353","67,453",29,
"Greenwood, Indiana","2,663","56,545",21,
"Gresham, Oregon","4,807","111,523",23,
"Gulfport, Mississippi","1,297","72,076",56,
"Hamilton, Ohio","2,876","62,127",22,
"Hammond, Indiana","3,386","77,134",23,
"Hampton, Virginia","2,634","135,410",51,
"Hanford, California","3,348","55,547",17,
"Harlingen, Texas","1,646","65,539",40,
"Harrisonburg, Virginia","3,047","53,078",17,
"Hartford, Connecticut","7,091","123,243",17,
"Haverhill, Massachusetts","1,907","62,873",33,
"Hawthorne, California","14,479","88,031",6,
"Hayward, California","3,507","158,937",45,
"Hemet, California","3,026","84,281",28,
"Hempstead, New York","15,096","55,555",4,
"Henderson, Nevada","2,719","292,969",108,
"Hendersonville, Tennessee","1,819","57,050",31,
"Hesperia, California","1,282","93,724",73,
"Hialeah, Florida","11,020","236,387",21,
"High Point, North Carolina","2,067","111,223",54,
"Highland, California","2,929","54,939",19,
"Hillsboro, Oregon","4,400","105,164",24,
"Hoboken, New Jersey","42,484","54,379",1,
"Hoffman Estates, Illinois","2,487","51,738",21,
"Hollywood, Florida","5,553","151,998",27,
"Homestead, Florida","4,491","67,996",15,
"Hoover, Alabama","1,802","84,978",47,
"Houston, Texas","3,842","2,303,482",600,
"Huntersville, North Carolina","1,384","54,839",40,
"Huntington Beach, California","7,501","200,652",27,
"Huntington Park, California","19,561","58,879",3,
"Huntsville, Alabama",924,"193,079",209,
"Idaho Falls, Idaho","2,694","60,211",22,
"Independence, Missouri","1,509","117,030",78,
"Indianapolis, Indiana","2,366","855,164",361,
"Indio, California","3,032","88,488",29,
"Inglewood, California","12,200","110,654",9,
"Iowa City, Iowa","2,975","74,398",25,
"Irvine, California","4,025","266,122",66,
"Irving, Texas","3,555","238,289",67,
